reviews,sentiment,urgency
help keep your day on track,Positive,Low
it really good but be there a way to create a task which repeat itself after certain period of time say every monday just like google calendar,Positive,Low
this be a great tool to keep track of task list i like that it be available on android and ubuntu it be fast stable and easy to use i m read atomic habit and plan to use the tool to track all my task no more google calendar or write to do list,Positive,Low
really love the app a it keep me on time and improved my productivity too,Positive,Low
it help me keep up with daily chore have the reminder email be a plus,Positive,Low
this be a great app with one major downfall the complete task be remove from the list and can only be access after a lot of click by default it should stay on the list in a strike out state it be important to know the task which i complete on the day hope this be fix soon,Positive,Medium
basic function work all well good ui and sectionings of work will get you through the basic need,Positive,Low
really help productivity the email prompt and alert be a little annoying but really helpful application which keep my life organise love the link to google calendar,Positive,High
i like that everything i need to do be right in one app with a reminder love it it also allow list withing the list you be make,Positive,Low
review update it be a good thing i put my subscription renewal date in todoist a a task because they do not send you any notification that your subscription be run out,Positive,High
the date search do not work in chinese it understand chinese date in a wrong way,Positive,Low
pls add week day option when repetitive task be add i dont want to do them on sunday but still it notify me,Positive,Low
empty_review,Positive,Low
the new version be great love the new board feature,Positive,Low
why edit task be so difficult intuitively i long press to edit but no response then i have to figure out here and there to find how to edit,Positive,Medium
pretty good so far,Positive,Low
the automatic schedule recognition fail sometimes it would also be nice to have a maps integration i do not think it be there,Positive,Medium
it be good but not perfect because i have same task everyday and the task i keep and complete yesterday be not visible after they be complete the first day and that be the only one issue on this for me and that be the only reason i be switch to ticktick,Positive,Low
good if u be a to do list person,Positive,Low
simple helpful and very neat,Positive,Low
it be live up to what it say it would do,Positive,Low
free version have some limitation but great productivity app so far long i ve keep one go on the phone yet,Positive,Low
i think an added calendar feature would make this app perfect i find myself constantly go back and forth between todoist and google calendar to schedule my stuff all in all a great app though,Positive,Low
it good to put more option for notification actually the best notifiaction option be for samsung reminder,Positive,Low
it would be great if you can set an estimated time for every activity but it be great,Positive,Low
make it easy to learn how to use it,Positive,Low
i like it but i do wish they could have alarm or reminder or something,Positive,Low
make a list be not something i find easy but todoist be make it happen,Positive,Low
best app ever but we cant resort task from widget plz add this feature tnx alot,Positive,High
pretty cool app the best for to list or management i ve ever use,Positive,Low
good than all the other dozen other similar apps i ve try,Positive,Low
good list app simple to use,Positive,Low
so far good need to check for add ons,Positive,Low
it be the best in my opinion but i feel task should not just be overdue i think introduce an option to indicate that you do not do a task or that it partially do would be helpful for help people track how they do task,Positive,Low
it be a gud experience and i find it useful to plan my exam schedule priority,Positive,Low
enjoy offload from my head and the app tell me what i ve schedule from the day great for busy mind,Positive,Low
not perfect but so far my favorite to do app,Positive,Low
keep a track of your grocery list or your daily goal or be on track for your long term project this app will definitely help you in all the way it can great for increase productivity,Positive,Low
pretty cool like a lot have help me very much,Positive,Low
this app be great and have the potential to be great however my only request be when you add a parent project to your favorite please include the project within it as well and to also make set alarm to your task more simple and reliable thanks,Positive,Medium
i appreciate the reminder,Positive,Low
great app well organize and user friendly ui although monthly subscription be a bit much i d rather pay full price for the whole app and get all the feature it offer,Positive,High
i d like to see a list of the task i ve do in the last day,Positive,Low
why ca not i see complete task in any project sometimes the program show them sometimes do not,Positive,Low
well design app just wish it have some more flexibility for assign date and responsibility i also have not be very successful at use the notification function,Positive,Low
great but could use more assistance feature to help automate your task management,Positive,Low
help me reminder the important task to do,Positive,Low
i be still test it efficiency,Positive,Low
awesome to do and project management would revommend also i hope to get the premium soon,Positive,Low
amaze app that beat my lame as planner,Positive,Low
a really simple and effect app however you really need to upgrade to premium to get the most out of it,Positive,Low
enjoy the app but ca not figure out how to get it on my galaxy active watch whenever i try to find the app for it i get direct to the phone app,Positive,Low
reminder be a paid feature and the premium version be too costly,Positive,High
free version be miss some bell and whistle but overall get the job do,Positive,Low
so far this app have be very helpful i will be try out the premium version very soon once i do i will update this review,Positive,Low
easy to program not bad at all,Positive,Medium
the handling be very fast and intuitive,Positive,Low
enjoy it so far i just cant seem to sync it with my calendar so i get no notification for my to do list and i need to open the app to check i need to do,Positive,High
nice app to keep me focused,Positive,Low
it be fantastic but i take a star off because they nag me to rate it,Positive,Low
eu gosto muito do aplicativo a minha sugesto seria para ter a opo de no excluir a tarefas concludas porque psicologicamente falando d uma satisfao chegar ao fim do dia e ver todas a tarefas que foram feitas com um risquinho,Positive,Low
unfortunatelly you must to pay for reminder,Positive,High
i really like this app the way thing be organize and how simple it be what i do not like be that the complete task automatically disappear and each time i wan na see them i have to click on the option to show them i wish there be a function be you can choose a default if the complete entry be hide or not,Positive,Low
i m love this app i would have give star but the only thing i do not like be that it do not have any reminder you have to buy it anyway overall the app be impressive you can go for it,Positive,Low
i want to make a note buy present for april but it always convert to buy present due april st i have try april instead of april but it also do not work edit april work it be the most elegant solution i can find i ca not find a way to just type text if there would be and easy to understand way i d give star,Positive,Low
find that on the phone app the amount of task you can add to a project be limited or but on the computer version there be no such limitation other than that it be a good app,Positive,Low
a advertised very well organize i do not use it as much a my bos but he love it i m sure i have much more future use for it,Positive,Low
functional and serve all need for to do list will happily give when integration for alexa custom list be implement,Positive,Medium
good but a little overwhelming,Positive,Low
best task manager on the market the only weak point be sub task handling and sort on some view but otherwise fantastic query fast entry etc second to none,Positive,Low
switch to todoist from microsoft todo and it have all the feature from that and more i wish that push notification be not a premium only feature a this be something todo provide for free nevertheless this be probably the best to do list app i ve use,Positive,Low
very nice app easy to use,Positive,Low
for now be on love the the app be very very efficient,Positive,Low
very good but do not see why would pay when google have google keep and calendar work about the same and be free,Positive,High
fantastic app to get it together still lack a few feature eg create list,Positive,Low
great app keep up to date,Positive,Low
this be a useful tool,Positive,Low
miss back button on some screen otherwise great,Positive,Low
very well do for improve your task management only the lack of badge count for android phone be loose the star review,Positive,Medium
so far so good wish i could see what be do on any give day an option to show task with a completion indicator strike through would be helpful also would like to be able to mark a task complete for a previous day a i sometimes do not get to mark them on the same day,Positive,Low
this be a really good app the only reason for four star instead of five be that it do take awhile to really get the hang of all the different thing you can do,Positive,High
always a good thing great wonderful,Positive,Low
overall it be a great app i just wish i could link it with my google calendar or that it work well with google assistant,Positive,Low
i would like to have a widget on my homescreen but i have to pay however it be really good for organize the task,Positive,High
do not link with my calendar or email,Positive,Low
i ve be switch between task apps for year this seem the most intuitive and allow me to be the most productive quite a few feature be pay for though and although i would be willing to pay a large upfront fee a monthly fee be not a commitment i d be willing to make,Positive,High
it be a great organizational tool,Positive,Low
very easy to use and really clear the only thing i miss in this app be see the complete task besides that it be be a great app that help my productivity,Positive,Low
limit list to item that be old it be well now,Positive,Low
this be a solid replacement for wunderlist but it be not simply a to do list it be more of productive task,Positive,Low
great app easy to use,Positive,Low
great and useful reminder app but it have many feature for which we have to buy it premium version previously i give it wrong rating by mistake i give rating of another apps and by mistake i give it the rating of another reminder app,Positive,Low
make me productive because i m always up to a schedule,Positive,Low
easy to navigate in order to keep track of task,Positive,Low
great app be you go to add the ability to attach image to action,Positive,Low
do what it need to do very good integration with google calendar the time of a task in google calendar be standard set to one houre i d prefer be able to change the amount of time i estimate to work on a task not be able to send email a a task from different g mail account be a feature i miss but overall very good app hence star,Positive,High
fun and simple to use,Positive,Low
just use the free version and use inbox for just a list of thing to do,Positive,Low
pro intuitive design great way to acheive goal con not entirely free it work with google calendar but each task only can be in hr interval,Positive,Low
would ve be star if i be able to move around the arrangement of my task,Positive,Low
it help me think through all the element need to truly cross something off my list,Positive,Low
have this app during college and it great to quickly add in thing to do and also to have schedule project very clean and easy to use,Positive,Low
very simple to do list app simple but quite powerful even on the free plan there be a lot of other apps that offer more stuff for free but they be clunky to use the only problem i have be inability to hide thing that be only available with the premium subscription such a label and filter tabs but i understand why they re there,Positive,High
be excellent replacement for toodledo still a little rough around the edge but be actively improve,Positive,Low
really help me to manage my day,Positive,Low
easy to use very stable and work well with gtd methodology,Positive,Low
help to concentrate,Positive,Low
easy to use and pack with feature,Positive,Low
realmente e una muy buena aplicacin e fcil ubicarte y organizarte si ya sabes usar este tipo de apps lo que encuentro mal e que hay opciones bsicas como aadir notas a las tareas que estn escritas y por ellas hay que pagar me gustara que no hubieran tantas opciones de pago o por lo menos no tan esenciales de resto est muy bien esta aplicacin,Positive,Low
excellent app with few feature limitation in free version which be available on similar apps such a comment reminder etc be lock on free edition,Positive,Low
it could be much good if i could see my do task and not destroy them,Positive,Low
easy and practical,Positive,Low
it be a really helpful app thank you developers i d give it star if the notification be somehow good than overdue maybe something more interactive click here or colorful,Positive,Low
great overall app to get yourself organize,Positive,Low
weather iu be a kitten gh with q many different how,Positive,Low
so good so far i give star just because i do not use all feature yet so need to go back again to that raiting,Positive,Low
great so far after a few day free trial,Positive,Low
great app do thing easily maybe a video of effective usage would help,Positive,Low
this be the best why i give this star because you need to be in premium to use the alarm thing,Positive,Low
i think it a great app although i do have one suggestion after complete a task especially for the day maybe it would be more motivating to cross it out and keep it there so that one could see how many task they have complete till then and how much they have leave,Positive,Low
great for get remind of your task,Positive,Low
good app that remind me of my daily task,Positive,Low
the free version be a bit too limeted however it do worth it,Positive,Low
only wish miss daily would not count for the current day too otherwise brilliant,Positive,Low
feature request i hope i can manually reorder task in label view like it be do in project view of course to be synchronize across all platform this will be cool,Positive,Low
great organizer however too many feature require you to have a pay membership while similar apps do not require any membership fee,Positive,High
love the app but notification stop work after couple of day and now i do not get reminder for anything on time,Positive,High
it help me keep track of my task very efficiently,Positive,Low
it be okay easy to use just wish incould add a topic note header toneach individual note,Positive,Medium
wish the free version have more feature,Positive,Low
some issue with sync but so far i be enjoy it,Positive,Low
great app wish navigating project on mobile be easy,Positive,Low
mostly great i just wish i could make my main to do list my home page,Positive,Low
i have have a wonderful experience with this app it have genuinely help me keep track of thing i need to do it have help me gain structure in my life and i be really grateful for it this be from a guy who do not even bother to use google agenda lol great app good stuff and i hope they keep improve,Positive,Low
right now i start this but feel very happy to install this application be it do easy and fast working,Positive,Medium
wish i could add picture to task but that be about it for the negative great app would highly recommend,Positive,Low
so far so good im see if it worth pay for ive tried sooo many organizational apps,Positive,High
easy to use no drama very streamline for basic list use,Positive,Low
work great except reorder share project always fail my shopping project my wife share and she can never reorder on that project but no problem on other project,Positive,Medium
very simple and easy to use,Positive,Low
great for grocery and remember long term to do,Positive,Low
just get start on it,Positive,Low
overall good i just wish the alarm feature be available for the free download,Positive,Low
appreciate this app it give me a convenient way to list task on the fly,Positive,Low
nice interface good help good configurability integration with desktop outlook be a bit of a pain though,Positive,Medium
nice if you re bad at remember everything you have to do quick and convenient,Positive,Medium
good application it keep me focus on my goal one downside be whenever i put a new task on a specific day it do not areange it automatically i have to do this manually,Positive,Low
be it possible to implement statistic on complete repetitive task,Positive,Low
this be a great tool with a minimalist design one feature i would be willing to go premium for be the ability to change task order use drag and drop in the widget that would take this to the next level,Positive,High
easy to use wish printing list so they fit on one or page be possible,Positive,Low
this app be awesome i have a sugestion in the app ca not see the project order by folder will be good can see by folder,Positive,Low
this app be such high quality in it usage and visual design it be on par with the quality you d expect from google,Positive,Low
it be revolutionise the way i work a a medical student make go from one task to another effortless allow me to stick to break etc,Positive,Low
awesome app i be enjoy it simplicity and effectiveness,Positive,Low
simply brilliant they put a lot of effort into a quick and smooth user interface keyboard shortcuts keywords date detection that allow me to implement gtd almost at the speed of my thought keep up the excellent work,Positive,Medium
this app be one of the cool app,Positive,Low
one of the best todo apps out there start use it a a personal reminder list but the more i learn about the app the more conveniently it weave itself into my life now it be an important part of my workflow,Positive,Low
exceptional tool to boost one be productivity thanks for this amazing app,Positive,Low
update year later i have upgrade to a premium version especially after all the newly add feature i ve try many other list reminder type apps and todoist stay my favorite st review in i m still get familiar with the app after a week but it seem to be very easy to use simple add item categorize them i m use the free version,Positive,Low
good stuff help me realise what a stupid slacker i be brb gon na go jump off a cliff now,Positive,Low
best app for to do the highlight be natural language processing,Positive,Low
simple but flexible app for manage todo list and notification,Positive,Low
it do what i need when i need it and it provide me with in information i require to be more efficient plus it be link to alexa so it it easy to add task or even grocery to my lust it be a win win,Positive,Low
great app and it be way well than your regular reminder application gon na start use it for my daily life routine,Positive,Low
it remember my todos so i can focus on execute those todos help alot in achieve more,Positive,Low
can you please available the mobile reminder service for free it be very important for me but i be not able to buy it,Positive,Medium
awesome app help me to boost my productivity everyday,Positive,Low
love it simple to use and just the perfect amount of prompt,Positive,Low
great app i d recommend to anyone that have problem solving and anxiety issue it help me sleep to be able to make todo list for the next day,Positive,Medium
really help me get stuff do and on time,Positive,Low
just become perfect they listen to customer feedback impress how they improve all the shortcoming they have before,Positive,Low
it be great app to plan your day it be easy to use and fast,Positive,Low
absolutely amazing app and seriously have nothing bad to say i wish that we can get more perk a we use the app and it feature more to encourage u to mange our time wisely,Positive,Medium
basic and nice i can advice,Positive,Low
i love the fact that i can create a list of item to do and check them off a i go right here in this app the notification be like my own personal secretary it have help me tremendously with productivity,Positive,Low
l it be excellent marvelous amazing,Positive,Low
extremely easy to use with excellent visual cue,Positive,Low
extremely helpful this app have help me form new habit and become way more productive,Positive,Low
love it easy project organization and to do list option the widget for andriod be amaze,Positive,Low
since last major update reschedule a task take you to the day where it be schedule prevent you from quickly reschedule all task on a give day productivity killer,Positive,Low
this app be where i have outsources my brain my entire life run on this app and it be so smooth compare to many others i love how seamless the experience feel between device,Positive,Low
i have use the premium version of this task manager for several year cross platform functionality be a must and it integrate well with several other program email calendar ifttt great for those use gtd methodology try the free limited version then upgrade for full capability,Positive,Low
it be a great app for the one be who do not want to waste their very single moment in this life it be helpful in achieve goal and to increase productivity in your daily life thank you so much to doist keep move forward,Positive,High
the best of the best plan youe entire life,Positive,Low
great app to plan your day,Positive,Low
very useful i love it,Positive,Low
i be new to it but so far an excellent app,Positive,Low
this app be so amazingly do and so helpful i ca not begin to describe how much value this app have to me this app make a huge difference in my life by allow me to build habit and be consistent with them,Positive,Low
help me member and get so much do,Positive,Low
todoist be simple customisable and helpful app to get thing do must have app for productivity,Positive,Low
definitely the best app out there for sync honey do list especially if your life be complicate,Positive,Low
brilliant app be use it every day for over year and i love it,Positive,Low
great clutter free to the point app with enough feature if you think it do not exist google it there be many hidden thing you need to know,Positive,Medium
excellent and very helpful,Positive,Low
a pretty easy way to keep track of task and set reminder whether recur or not,Positive,Low
you remind of the todos i have plan to do and do not do this keep me updated love it,Positive,Low
help me cope with my preoccupied life,Positive,Low
love it feel less stressed and more organised lately,Positive,Low
best todo app ever,Positive,Low
extremely helpful at help me keep track of all the task i need to get throughout the day,Positive,Low
it be very easy to add task with it incredible natural language processing,Positive,Low
most clear and useful app out there try many keep todoist,Positive,Low
superb app fulfil more than expect,Positive,Low
just amaze i just want an option to set the list in order that i prefer even if i set them by or,Positive,Low
perfect for daily use do not look far this be your planning app,Positive,Medium
it be easy to use and very helpful to put my to do in a digital form,Positive,Low
android have very few todo reminder apps that be even worth download this app be an exception and definitely worth the download,Positive,Low
very user friendly nice ux job,Positive,Low
awesome app a request to the devs i wish there be some way o take note in this app that be link with a task so it will be good for future reminder,Positive,Low
best to do list tool i have thing to do every day but this app keep me in line and i meet my deadline between remote work homeschooling run errand and holiday shopping this be so useful i even have it on my laptop so the team who create this thank you,Positive,Low
a fantastic app for try to manage your life and time yet still fail but the app actually make me remember that i have something to do but still i wo not do it for reason,Positive,Low
a real help to get up to speed with remember task of new job,Positive,Low
awesome save so much time and effort,Positive,Low
this app be a big help for me in my work study life management,Positive,Low
a literally effecient app to plan daily shleduled task goal as well a project easy user friendly ui whether user just want to note some random task or very specific schedule task project it be useful,Positive,Low
the best customer experience i have in year,Positive,Low
the free version be pretty easy sofar,Positive,Low
update thank you for the fantastic update on this product i ve move completely to todoist now and greatly appreciate the support community recommend subscribe to carl pullin be youtube channel to learn all kind of goodness with use todoist use for gtd capture be excellent processing and organize be easy still work on review discipline,Positive,Low
this app have blow me away rarely if ever rate an app but there be no ad and the free version be still incredibly highly functional just so impressed well do to the team,Positive,Low
e til para tener todas mi tareas pendientes adems funciona bastante bien,Positive,Low
my organisation skill have never be as good before i use this app it on all my device make sure every day of the year be not waste,Positive,High
on the free version very intuitive and have make a difference to my organisation thank you,Positive,Low
satisfy concise and helpful in organize my workload accordingly i recommend this app to many people it be definitely worth instal,Positive,Low
the best organizational tool on my phonesv,Positive,Low
great simple app for manage daily task keep your task in sync on all device,Positive,Low
love it it be simple but just the thing i need to keep my to do list write down and handy for easy access,Positive,Low
excellent program and several youtube videos to well understand the use of the software,Positive,Low
very functional and satisfy to use on an oppo phone,Positive,Low
excellent task management,Positive,Low
i m really enjoy this app it be help me juggle between plan my cross country move and daily life,Positive,Low
easy to use and can integrate with other apps,Positive,Low
ca not imagine live without it,Positive,Low
i ve use several and this be the best i ve use clean interface and every feature i want,Positive,Medium
it could really help me to be more well organize,Positive,Low
i really love this app it help me focus on my study,Positive,Low
use this app to get away from physical to do list i have scatter everywhere work great and i appreciate the ability to really organize my list,Positive,Low
it help me be more efficient,Positive,Low
great app help plan my day and give me foresight into what be come up,Positive,Low
like the fact that desktop and app syns automatically,Positive,Low
i love it so much it be skyrocket my productivity level my focus it be easy to use the feature in premium be so worth it thank you to the todoist team,Positive,Low
love the product keep my life on track,Positive,Low
sync across device easily and quickly easy to create list and love the layout,Positive,Low
this be the best to do list app much good than google or microsoft alternative,Positive,Low
i love how easy it be to add item and that they sync across platform and device also that i can add them to through alexa,Positive,Low
very good experience with todoist,Positive,Low
perfect software for actio item management,Positive,Low
to focus on study with this app be a brilliant idea cause it remind you to do homework even more strictly than your teacher a must have app,Positive,Low
enjoy the process to choose what be essential,Positive,Low
very effective way to plan and execute the day to day activity,Positive,Low
i looooove this app i really recomend it it easy to use and it remind you,Positive,Low
very good it be worth use properly take a little time to learn everything about it and you will find that you have more time and less stress,Positive,Low
it perfect for student be like me who take every day a challenge and tend to forget what be important each day,Positive,Low
for a disorganized person me this be a big help and pretty easy to use,Positive,Low
excellent and very straightforward and easy to use especially now boards kanban style be here a i be very spatially orient this be ideal for me,Positive,Low
nice app useful and easy to use the free version have lot of option to serve the goal,Positive,Low
very useful it help keep track of productivity very well,Positive,Low
i have find this app awesome so far it really help to remain organized just hard suggestion if possible please add facility for complete periodic goal like what i be work be for betterment of my carrier in come year thank a lot once again,Positive,Medium
wonderful app really help me to work on what be important,Positive,Low
good app help to check each activity on hand,Positive,Low
it be a great app love it,Positive,Low
i love the feeling of tick off thing i ve purpose to do and actually accomplish at the end of the day and todoist aid in that great sense of accomplishment super grateful,Positive,Low
maybe i ll get around to use it,Positive,Low
best productivity tool ever,Positive,Low
excellent app very easy to use,Positive,Low
powerful convenient and intuitive,Positive,Low
worth it simple elegant useful,Positive,Low
this be beyond helpful when plan out my day i use this for both school and personal project it be aesthetic organize and simple to use i m in love with todoist,Positive,Low
love it nice way to stay organize,Positive,Low
by far the absolute best to do app the free version be great and the pay version be even great,Positive,High
this app change my life nice overlay,Positive,High
very usefull app for procrastinator,Positive,Low
still learn how to integrate this app to my workflow,Positive,Low
very versatile and easy to use,Positive,Low
be use this app for year,Positive,Low
best app to manage your to do list and it syncing feature b w laptop mobile be amaze,Positive,Low
this be begin to change my life,Positive,High
the best option for productivity use this tool with gtd system and see the magic,Positive,Low
intuitive and very helpful,Positive,Low
if you work it it will work for you,Positive,Low
it be a great productivity tool keep you on track with everything you set out to do,Positive,Low
best todo list i have use so far work on every device i have just perfect,Positive,Low
i ve try to use to do list type application before i see the benefit in them but they never really stick with me the customization and organization option in this app make it great i use it daily,Positive,Low
the new board view be a nice improvement,Positive,Low
awsome love that google assistant take my voice note to todoist,Positive,Low
love it so far the absolute high that i get from check off important task on a to do list be indescribable todoist be my white rabbit but actually it really be great feel intuitive other than an occasional crash when i move task to different section cause me to reopen it once again i really enjoy use it,Positive,High
great app to keep on top of life,Positive,Low
great for basic list to project management,Positive,Low
i love the app,Positive,Low
second update sep a solid choice have be use todoist for about year they be like a very slow in term of release feature that you love and hate at the same time but at the end of the day this be a super powerful tool that have pass the test of time highly recommend,Positive,High
amaze tool to organize your day,Positive,Low
one of the best apps i use in my whole life superb thoughtful subtle design make you want to use it and this be the key,Positive,Low
i m enjoy a lot my experience with todoist my productivity be increase,Positive,Low
this app be fantastic it be so easy to use and have a sleek dashboard that make it easy to follow up on my own task free version be great and have all the feature i need,Positive,Low
the perfect to do app,Positive,Low
absolutely love this app especially it be support for markdown,Positive,Low
this app be make me manage good i love it specially when i use it on different platform and web i definitely suggest it to my friend,Positive,Low
i like the app so far good game changer,Positive,High
honestly the best app i could ask for managing and complete task in a form of project,Positive,Low
greedy app not worth the cost atleast can make it a one time purchase you can install google calendar task habit tracker seperately for free and still use it,Negative,High
want to try it out but the feature i want pomo monthly calendar view etc be only available with a subscription wish i discover that before sync google calendar info,Negative,High
use to be a good app now it be all buggy,Negative,High
pointless to have an account if you can not have a task that last two day without pay for premium pomodoro be also premium,Negative,High
crash my phone everytime a notification pop up to ask if i do a task shame because i like feature of build a habit but they ca not even get this one feature right this be just a guess but i believe it be because of the second pop up after you hit yes to rate your mood pretty useless additional feature,Negative,High
not advisable and reliable highly complicate,Negative,Low
love ticktick but the lag on the late version of the mobile app be unbearable,Negative,Medium
i pay so much can you remove the subtask be annoy lag hang not the best anymore extremely dissapointed bad and bad please please do a new update,Negative,High
i pay for this yesterday and i get my premium only for one day today i m not premium again i have enough disappointment because my nd device do not get premium after i pay and now my first device also like this i email you since yesterday and also write on feedback on app but i get no reply,Negative,High
warn steal data route info to chinese server before upload to your cloud account check via nrf or pocket ssl capture app the good simplistic ui one may or may not like this the bad google authentication be buggy have to it thrice the ugly do not allow one to export import data,Negative,High
for a high rating pls do not force a response after a long hard day also need more flexibility or instruction in open close delete end i e manage task,Negative,High
i pay for two account on two different device but at second device my premium membership ca not be use i pay twice but i only get one premium account,Negative,High
i be a premium subscriber for month i bill for october but my premium expire and app support be not reply to my email,Negative,Low
so much feature require to pay to use evil money hungry developer,Negative,High
often freezing and crash when i wan na add photo to task help or give my my money back no support response task in calendar easy prioritization only usefull app in shop,Negative,High
how do you sync this be next to worthless unless you can sync,Negative,Medium
i do not get a completion sound when i finish a pomodoro,Negative,Low
decent amount of function and i really like the widget for this app but the free version be too limited to be useful i would pay money for this app if it be for sale but i be never go to pay for a subscription to a phone app especially not a todo list app,Negative,High
need the calendar view but i m not pay ongoing fee for it not enough task in the free version account delete shame,Negative,High
i waste hard earn money microsoft to do be far well,Negative,High
buck per year y all have lose your mind uninstalled,Negative,High
this app never get well no matter how i wait for improvement one be it late notification of your to do list now it be always frozen kindof dead or something it great app but i m not use this again,Negative,Low
instal this app add the task log in use google in the same order but after login the task add no more found this be definitely unacceptable,Negative,High
concept be ok but i dont like ui it make me think a lot maybe the design be very clean,Negative,Medium
do not do what it say that it be go to do,Negative,Low
i could not use this app cause payment method be not available it would be great if you add some more payment option like bkash,Negative,High
useless without a pay subscription not even a weekly view be possible,Negative,High
many of option be in upgrade mode so i could not use them,Negative,Low
the feature of the app be pretty simple and cute so when it come to the design it be okay but that be not the purpose of the app it be a reminder and it never work oh it do at the first and last time and it never work again the storage of my phone have be waste,Negative,High
when i try to complete my habit or swipe them away in the notification center my entire phone freeze up for a few second other than that it perfect,Negative,High
i want an app for easily share grocery shopping list with my partner i share the list with her nothing come through and the app tell me to upgrade to premium no thanks will pass,Negative,Low
lose all my gnotes information with no advanced warning year of important information all disappear now call tick tick with no integration very poor and have cause huge problem,Negative,Medium
for task duration you need premium,Negative,Low
sync in the background between android and mac have not work for multiple month have to manually go into the android app and do a sync do a background sync on android after every edit or notification that get update would be nice stop add feature and fix this already,Negative,High
terrible support i purchase the yearly suscription and i get no answer use the feedback suggestion from the app and neither use mail to get a refund scam,Negative,High
empty_review,Negative,Low
when will gant view come,Negative,Low
few integration with google account,Negative,Medium
app can not sync in backround so it do not sync with your task create for example on your pc until you open it manually sync it very annoy feature and also make your task ureliable too bad because otherwise it be perfect p s i already have contact the support they send me automatic reply and nothing have happen since,Negative,Medium
app be good however customer support be not that much i have contact them time about an issue and the request be be ignore i be really sorry that i have to give a low evaluation in order to finally get the attention of the customer support i be a pay customer for year now,Negative,High
asks me to upgrade just to be able to connect to google task calendar uninstall,Negative,High
so bad i wish it block,Negative,Medium
have fail to sound and show task at the right time or at all yet still put the recurrence on for the day after i have a reminder set for every two week but it go off after only one week so i take my medication too early fortunately no harm do to me uninstalled,Negative,High
it be on my phone when i buy it i have no interest in a trash app like this,Negative,Low
ca not import without sign up i do not want to give up privacy,Negative,Low
year y all out your damn mind ca not even view a full month calendar with the free version only day and week silly devs,Negative,Low
bad app for reminder period use google product instead they will work no matter if you turn on or off the background use this power hungry good for nothing apps be straight to be rule out well if you do not believe me give it a try and keep regretting,Negative,Medium
absolutely refuse to not sync data with google account if i try to use a gmail sign in i have to sync everything with google the app will ask time in a row regardless of how many time i hit deny make the entire app totally unusable change email be a massive pain in the as if you already have a google account associate with it this be absolute garbage,Negative,High
i think this be just irritating because i just plan my whole day and keep reminder not even a single reminder come through the whole hour,Negative,High
poor practically no functionality available in free version even day view be restrict remove this app from my phone,Negative,Medium
do not trust this no uninstall information anywhere make it feel scammy,Negative,High
update the app be from hong kong and after the recent chinese law i urge anyone to stop use it i use to love the app rat it star previously but sadly nothing can be do,Negative,High
the in app calendar view do not show the task i ve schedule when the devs respond to my st play store review i think they re go to fix it but now even after several update it be clear they have not take my feedback with much seriousness uninstalling,Negative,High
price not show before create an account,Negative,Low
the task doesnt show up on time and it always overdue and i dont get to finish my important task i have to find another one to do list app this app suck,Negative,Low
far to my previous comment it look like app be hang on sync a same behaviour can be duplicate multiple time first start happen on th july p pro andriod,Negative,High
per month for a to do list app be you serious i would mind an add banner at all and would find it fare i know you guy be not volunteer but guy do not think that i be a desperate enough a to pay such a fee for to do list,Negative,High
recent update break sync battery drain and constant crashing sort the basic before add fancy feature,Negative,High
i set a reminder since last week it do not even ring at the chime of the clock while i observe it ring post min approx that too when i access the app to see what be the fault please look into this bug,Negative,High
it be china app so do not use it if you love your privacy,Negative,Low
at first oke unless you do not want to give permission to google each time you deny to share you re data the question simply pop up more time hop you click allow this be pesky,Negative,Medium
the premium version of the app be good but the free version be useless and some school student do not get proper support pay monthly from their family of my country every interesting and useful feature arw in premium,Negative,High
subscription base calendar immediately uninstall it,Negative,High
worst customer care they ca not manage a refund i m very disappointed scam,Negative,High
i buy the full version of gtasks pro from this company and now it be unavailable think twice before buy from them,Negative,Low
i do not like this app because no protect from this app,Negative,Low
i do not like this app,Negative,Low
automatic synchronisation disable by developer,Negative,Medium
keep ask for a rating ok here be one,Negative,Medium
i find ticktick not satisfy me fail to give me alarm on event for a week long test,Negative,Low
guy this be chinese origin copy of wunderlist app which be free of cost here they charge claim for premium feature not worth,Negative,Low
do not work on time,Negative,Low
this be a bad app after purchase a pay subscription i get a lot of ad instead of an app that help me plan my business i hardly see the task scheduler just advertise a lot of advertise the author be too greedy,Negative,High
it be chinese so fear of data security issue uninstalled it,Negative,High
this be the beat app of all,Negative,Low
it just vibrate i never get an alert it only list the task and vibrate when i open the app it do not alert me,Negative,Low
annoys user to rate the app here be your one star,Negative,Medium
i ca not sign in to my account,Negative,High
you can not delete the account from application for some unknown reason,Negative,High
unable to login in all login option it say sign in failed check nw but nw be fine be able to access internet,Negative,High
the app be really clumsy to use i take the paid version of this app but still it feel like that the app ca not help you with anything it be well to set a reminder of your own money waste,Negative,High
boycott chinese product shame on chinese president,Negative,Medium
it be be a good app but i ca not sign in now i ca not even renew my premium membership i love this app but it be be like this for long you will always be redirect to the sign in page everytime you sign in,Negative,High
i purchsed this specifically for the pomodoro feature among other feature it be not include in the app,Negative,Low
in pomo mode white noise option go or not easily find at least to me tried web search with no help only silent or tick clock option see which be annoy can not email customer service url outdated through web link,Negative,Medium
the majority of thing be block off by subscription,Negative,High
when i try to set up avatar photo on oneplus i have black screen,Negative,High
